publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Mechanisms of defense accident /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=839	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000839	RAW
Internal defenses									http://fod.infobase.com/PortalPlaylists.aspx?xtid=840	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000840	RAW
Coming together									http://fod.infobase.com/PortalPlaylists.aspx?xtid=842	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000842	RAW
A New life									http://fod.infobase.com/PortalPlaylists.aspx?xtid=843	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000843	RAW
Aging									http://fod.infobase.com/PortalPlaylists.aspx?xtid=845	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000845	RAW
An Artist's life									http://fod.infobase.com/PortalPlaylists.aspx?xtid=863	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100000863	RAW
Flamenco									http://fod.infobase.com/PortalPlaylists.aspx?xtid=892	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000892	RAW
Flutes and whistles									http://fod.infobase.com/PortalPlaylists.aspx?xtid=922	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000922	RAW
Bowed instruments									http://fod.infobase.com/PortalPlaylists.aspx?xtid=924	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000924	RAW
Keyboard and percussion									http://fod.infobase.com/PortalPlaylists.aspx?xtid=925	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000925	RAW
Brass instruments									http://fod.infobase.com/PortalPlaylists.aspx?xtid=926	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000926	RAW
Olivier's Hamlet									http://fod.infobase.com/PortalPlaylists.aspx?xtid=958	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100000958	RAW
Olivier's Henry V									http://fod.infobase.com/PortalPlaylists.aspx?xtid=959	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100000959	RAW
D. H. Lawrence rocking horse winner /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=962	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100000962	RAW
Bertolt Brecht									http://fod.infobase.com/PortalPlaylists.aspx?xtid=963	East German Television.			fulltext		 Films Media Group,									100000963	RAW
Matador									http://fod.infobase.com/PortalPlaylists.aspx?xtid=964	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000964	RAW
Dream houses									http://fod.infobase.com/PortalPlaylists.aspx?xtid=981	Exxon Mobil Corporation.			fulltext		 Films Media Group,									100000981	RAW
Aaron Copland self-portrait /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=989	Leon, Ruth.			fulltext		 Films Media Group,									100000989	RAW
A prologue to Chaucer									http://fod.infobase.com/PortalPlaylists.aspx?xtid=998	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000998	RAW
Dickens Oliver Twist /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=999	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100000999	RAW
Images of glory									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1104	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001104	RAW
Enduring dreams									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1107	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001107	RAW
Aluminum									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1108	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001108	RAW
Iron and steel									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1109	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001109	RAW
Chemicals from NaCl.									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1110	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001110	RAW
Chemicals from NaCl.									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1111	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001111	RAW
Katherine Anne Porter									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1169	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001169	RAW
Herman Melville Bartleby the Scrivener /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1252	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001252	RAW
Limestone									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1277	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001277	RAW
Fit to drink									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1278	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001278	RAW
Out of the air.									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1279	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001279	RAW
Out of the air.									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1280	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001280	RAW
Chesapeake planter									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1311	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001311	RAW
Antietam									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1314	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001314	RAW
Oedipus the king									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1318	Bioscope (Firm)			fulltext		 Films Media Group,									100001318	RAW
Oedipus at Colonus									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1319	Bioscope (Firm)			fulltext		 Films Media Group,									100001319	RAW
Antigone									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1320	Bioscope (Firm)			fulltext		 Films Media Group,									100001320	RAW
Edith Piaf la vie en rose /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1347	Rosman, Leonard.			fulltext		 Films Media Group,									100001347	RAW
Acid rain									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1385	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001385	RAW
Before the alphabet									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1685	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001685	RAW
Martin Luther King, Jr. Day making of a holiday /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1691	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001691	RAW
Dreams theater of the night /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1737	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001737	RAW
Memory fabric of the mind /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1738	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001738	RAW
Antoine de Saint-Exupery et Le Petit Prince									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1747	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001747	RAW
Charlemagne and the Holy Roman Empire									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1956	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001956	RAW
Christians, Jews, and Moslems in Medieval Spain									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1958	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001958	RAW
Byzantium from splendor to ruin /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=1959	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100001959	RAW
Management									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2002	Century Small Business Solutions.			fulltext		 Films Media Group,									100002002	RAW
Finance									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2008	Century Small Business Solutions.			fulltext		 Films Media Group,									100002008	RAW
Mysteries of the mind									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2029	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002029	RAW
Buddha in the land of the Kami 7th-12th centuries /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2151	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002151	RAW
El Palacio de Cortez									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2183	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002183	RAW
Corridos de la revolucion Mexicana									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2184	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002184	RAW
Chronobiology time of our lives /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2206	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002206	RAW
Nanook revisited									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2250	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002250	RAW
Gaudi spirit of Barcelona /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2252	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002252	RAW
Great black women									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2308	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002308	RAW
Childhood sexual abuse									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2349	Dartmouth/Hitchcock Medical Center.			fulltext		 Films Media Group,									100002349	RAW
Genetic testing									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2363	Dartmouth/Hitchcock Medical Center.			fulltext		 Films Media Group,									100002363	RAW
Kidney disease									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2364	Dartmouth/Hitchcock Medical Center.			fulltext		 Films Media Group,									100002364	RAW
Panic!									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2375	Dartmouth/Hitchcock Medical Center.			fulltext		 Films Media Group,									100002375	RAW
Alcohol and the family breaking the chain /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2383	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002383	RAW
Kids out of control									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2384	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002384	RAW
Civilization and climate									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2403	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002403	RAW
Modifying the weather case of man-made desert /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2404	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002404	RAW
Global warming									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2405	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002405	RAW
Danger ahead is there no way out? /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2406	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002406	RAW
India From Moghuls to Independence /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2453	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002453	RAW
A Little bit of magic realized William Fox Talbot's discovery /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2498	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002498	RAW
Korea ancient treasure, modern wonder /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2513	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002513	RAW
Margaret Mead coming of age /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2545	CTE (Carlton) Limited.			fulltext		 Films Media Group,									100002545	RAW
Deadheads AmericSubculture /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2547	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002547	RAW
How the Nazis came to power									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2550	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002550	RAW
Algeria 1954 revolt of a colony /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2561	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002561	RAW
Lenin according to Lenin									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2564	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002564	RAW
Charles de Gaulle									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2588	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002588	RAW
Israel first forty years /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2606	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002606	RAW
Juan Peron									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2607	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002607	RAW
Adult children of alcoholics family secret /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2629	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002629	RAW
Granada									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2677	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002677	RAW
Epitome of the Italian renaissance Gonzagas of Mantua /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2679	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002679	RAW
Medieval London 1066-1500 /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2694	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002694	RAW
Early Victorian London 1837-1870 /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2697	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002697	RAW
Late Victorian London 1850-1897 /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2698	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002698	RAW
French negatives									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2714	Educational Media International, Inc.			fulltext		 Films Media Group,									100002714	RAW
Montreal									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2717	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002717	RAW
George Orwell's 1984									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2728	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002728	RAW
Derek Walcott pantomime /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2730	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002730	RAW
Kenneth Branagh's twelfth night									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2746	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002746	RAW
Handel's messiah									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2751	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002751	RAW
Getting out of business privatization and the modern state /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2761	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002761	RAW
Forensic science shred of evidence /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2762	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002762	RAW
Intimate details of Roman life									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2783	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002783	RAW
Kate Chopin five stories of an hour /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2799	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002799	RAW
Models of writing reporting /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2816	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002816	RAW
Models of non-fiction writing presenting an argument /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2817	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002817	RAW
Models of non-fiction writing reviewing television /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2818	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002818	RAW
Models of non-fiction writing informing people /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2819	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002819	RAW
History of the English language									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2820	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002820	RAW
Inside information brain and how it works /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2842	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002842	RAW
From the Harvard business school America's comeback strategy /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2866	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002866	RAW
Meeting customer expectations									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2902	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002902	RAW
Handling customer service stress									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2906	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002906	RAW
Customer service by telephone									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2907	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002907	RAW
Managing difficult situations									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2908	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002908	RAW
America at war									http://fod.infobase.com/PortalPlaylists.aspx?xtid=2926	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100002926	RAW
Charles Stewart Parnell									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3026	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003026	RAW
Joyce, Yeats, and Wilde									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3029	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003029	RAW
Othello									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3030	Digital Classics (Firm)			fulltext		 Films Media Group,									100003030	RAW
Environmental illness bad chemistry /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3058	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003058	RAW
Goree door of no return /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3064	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003064	RAW
Cry of the Yurok									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3074	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003074	RAW
Gawain and the green knight									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3084	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003084	RAW
Luis Valdez and El Teatro Campesino									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3096	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003096	RAW
Cognitive coaching process for teaching and learning /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3116	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003116	RAW
Integrating instruction and assessment									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3118	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003118	RAW
Integrating thinking, reading, and writing across the curriculum									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3119	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003119	RAW
A Cry from the edge									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3163	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003163	RAW
Frida Kahlo portrait of a woman /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3191	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003191	RAW
Interracial marriage									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3200	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003200	RAW
J.M.W. Turner sun is god /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3287	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003287	RAW
Causes of Poverty									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3297	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003297	RAW
Managing the Famine									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3299	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003299	RAW
Exodus									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3300	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003300	RAW
Flood control									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3310	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003310	RAW
Evolving transportation systems									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3315	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003315	RAW
Harnessing steam									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3317	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003317	RAW
Maps and mapmaking									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3329	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003329	RAW
Darwin's Theory Today									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3348	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003348	RAW
Old world, new world									http://fod.infobase.com/PortalPlaylists.aspx?xtid=3369	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100003369	RAW
